"langue_sujet","code_langue_sujet","sujet"
"http://lexvo.org/id/iso639-3/aar","aar","Afar"
"http://lexvo.org/id/iso639-3/aar","aar","afar"
"http://lexvo.org/id/iso639-3/aar","aar","Somali"
"http://lexvo.org/id/iso639-3/aar","aar","http://data.bnf.fr/ark:/12148/cb11939724k"
"http://lexvo.org/id/iso639-3/aar","aar","http://data.bnf.fr/ark:/12148/cb119570237"
"http://lexvo.org/id/iso639-3/aar","aar","Afar"
"http://lexvo.org/id/iso639-3/aar","aar","http://data.bnf.fr/ark:/12148/cb11957382k"
"http://lexvo.org/id/iso639-3/aar","aar","http://data.bnf.fr/ark:/12148/cb11963592p"
"http://lexvo.org/id/iso639-3/aar","aar","http://data.bnf.fr/ark:/12148/cb119782134"
"http://lexvo.org/id/iso639-3/aar","aar","http://data.bnf.fr/ark:/12148/cb122214534"
"http://lexvo.org/id/iso639-3/aar","aar","http://data.bnf.fr/ark:/12148/cb12461525b"
"http://lexvo.org/id/iso639-3/aar","aar","http://data.bnf.fr/ark:/12148/cb12486708x"
"http://lexvo.org/id/iso639-3/aar","aar","http://data.bnf.fr/ark:/12148/cb13189371x"
"http://lexvo.org/id/iso639-3/aar","aar","http://data.bnf.fr/ark:/12148/cb170348180"
"http://lexvo.org/id/iso639-3/aar","aar","http://lexvo.org/id/iso639-3/aar"
"http://lexvo.org/id/iso639-3/aar","aar","http://lexvo.org/id/iso639-3/som"
"http://lexvo.org/id/iso639-3/aar","aar","http://www.language-archives.org/vocabulary/field#anthropological_linguistics"
"http://lexvo.org/id/iso639-3/aar","aar","http://www.language-archives.org/vocabulary/field#sociolinguistics"
"http://lexvo.org/id/iso639-3/acq","acq","Dahalak Arabic"
"http://lexvo.org/id/iso639-3/acq","acq","Dahlak Arabic"
"http://lexvo.org/id/iso639-3/acq","acq","http://lexvo.org/id/iso639-3/acq"
"http://lexvo.org/id/iso639-3/acq","acq","http://www.language-archives.org/vocabulary/field#anthropological_linguistics"
"http://lexvo.org/id/iso639-3/adx","adx","Tibétain de l'Amdo"
"http://lexvo.org/id/iso639-3/adx","adx","Tibétain de l'Amdo (Hualong)"
"http://lexvo.org/id/iso639-3/adx","adx","Tibétain de l'Amdo (Repkong)"
"http://lexvo.org/id/iso639-3/adx","adx","Tibétain de l'Amdo (Sokdzong)"
"http://lexvo.org/id/iso639-3/adx","adx","http://lexvo.org/id/iso639-3/adx"
"http://lexvo.org/id/iso639-3/ady","ady","Abzakh"
"http://lexvo.org/id/iso639-3/ady","ady","Bjedug"
"http://lexvo.org/id/iso639-3/ady","ady","Shapsug"
"http://lexvo.org/id/iso639-3/ady","ady","http://lexvo.org/id/iso639-3/ady"
"http://lexvo.org/id/iso639-3/aem","aem","Arem"
"http://lexvo.org/id/iso639-3/aem","aem","http://lexvo.org/id/iso639-3/aem"
"http://lexvo.org/id/iso639-3/aii","aii","Araméen"
"http://lexvo.org/id/iso639-3/aii","aii","Araméen (soureth)"
"http://lexvo.org/id/iso639-3/aii","aii","http://lexvo.org/id/iso639-3/aii"
"http://lexvo.org/id/iso639-3/aii","aii","http://www.language-archives.org/vocabulary/field#sociolinguistics"
"http://lexvo.org/id/iso639-3/aji","aji","Drehu"
"http://lexvo.org/id/iso639-3/aji","aji","Xârâcùù"
"http://lexvo.org/id/iso639-3/aji","aji","http://lexvo.org/id/iso639-3/ane"
"http://lexvo.org/id/iso639-3/aji","aji","http://lexvo.org/id/iso639-3/dhv"
"http://lexvo.org/id/iso639-3/aji","aji","Ajië"
"http://lexvo.org/id/iso639-3/aji","aji","http://lexvo.org/id/iso639-3/aji"
"http://lexvo.org/id/iso639-3/akr","akr","Araki"
"http://lexvo.org/id/iso639-3/akr","akr","Bislama"
"http://lexvo.org/id/iso639-3/akr","akr","http://lexvo.org/id/iso639-3/bis"
"http://lexvo.org/id/iso639-3/akr","akr","Araki"
"http://lexvo.org/id/iso639-3/akr","akr","http://lexvo.org/id/iso639-3/akr"
"http://lexvo.org/id/iso639-3/akr","akr","http://www.language-archives.org/vocabulary/field#general_linguistics"
"http://lexvo.org/id/iso639-3/amh","amh","amharique"
"http://lexvo.org/id/iso639-3/amh","amh","http://lexvo.org/id/iso639-3/amh"
"http://lexvo.org/id/iso639-3/amh","amh","http://www.language-archives.org/vocabulary/field#sociolinguistics"
"http://lexvo.org/id/iso639-3/aml","aml","War (dialecte Amwi)"
"http://lexvo.org/id/iso639-3/aml","aml","War (dialecte Nongtalang)"
"http://lexvo.org/id/iso639-3/aml","aml","War (dialecte Syndai)"
"http://lexvo.org/id/iso639-3/aml","aml","War Amwi"
"http://lexvo.org/id/iso639-3/aml","aml","War de Kudeng"
"http://lexvo.org/id/iso639-3/aml","aml","War de Lamin"
"http://lexvo.org/id/iso639-3/aml","aml","War de Mawngap"
"http://lexvo.org/id/iso639-3/aml","aml","War de Nongbareh"
"http://lexvo.org/id/iso639-3/aml","aml","War de Nongtalang"
"http://lexvo.org/id/iso639-3/aml","aml","War de Sohkha"
"http://lexvo.org/id/iso639-3/aml","aml","War de Syndai"
"http://lexvo.org/id/iso639-3/aml","aml","War de Thangbuli"
"http://lexvo.org/id/iso639-3/aml","aml","http://lexvo.org/id/iso639-3/aml"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11931381c"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11931827z"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11932496x"
"http://lexvo.org/id/iso639-3/ane","ane","Ajië"
"http://lexvo.org/id/iso639-3/ane","ane","Drehu"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb119310926"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11931564b"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11931670j"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11931793g"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11931803z"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11931991b"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb119319993"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11932512b"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11932823t"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb119328694"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11933029x"
"http://lexvo.org/id/iso639-3/ane","ane","Xârâcùù"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11931819b"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11931841h"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11932889r"
